generation;fitness;q1;q2;home_venue;fitness_sum
1;89236;15000;35000;10000;101685574
2;69675;5000;25000;10000;100347441
3;55427;0;15000;10000;98706700
4;55427;0;15000;10000;96384256
5;50272;0;20000;0;95116331
6;50182;5000;10000;5000;92955328
7;48207;0;5000;10000;91422110
8;41591;0;10000;0;89120841
9;41591;0;10000;0;87543217
10;39884;0;10000;0;86550452
11;36609;0;5000;0;87719892
12;35829;0;0;5000;86191312
13;35829;0;0;5000;84829316
14;35829;0;0;5000;83854948
15;35829;0;0;5000;82050413
16;33659;0;0;5000;80165674
17;30063;0;0;0;79693844
18;30063;0;0;0;78673486
19;30063;0;0;0;78522853
20;30063;0;0;0;76053413
21;29834;0;0;0;74270682
22;28436;0;0;0;73551597
23;28436;0;0;0;72679961
24;28284;0;0;0;71314097
25;28284;0;0;0;72561932
26;28284;0;0;0;71562312
27;28284;0;0;0;71827866
28;28284;0;0;0;71297524
29;28284;0;0;0;69587712
30;28284;0;0;0;69793724
31;28284;0;0;0;69471710
32;27553;0;0;0;67745933
33;27553;0;0;0;68531162
34;27553;0;0;0;68136025
35;27553;0;0;0;67356771
36;27553;0;0;0;66883175
37;27553;0;0;0;67533315
38;27553;0;0;0;67521463
39;27553;0;0;0;66807551
40;27553;0;0;0;67534332
41;27553;0;0;0;67322198
42;27553;0;0;0;65081039
43;27553;0;0;0;66199922
44;27553;0;0;0;64787027
45;27553;0;0;0;65078729
46;27328;0;0;0;64818556
47;27328;0;0;0;63289857
48;27328;0;0;0;64531042
49;27328;0;0;0;64209759
50;27328;0;0;0;62353442
51;27328;0;0;0;62627778
52;27328;0;0;0;63184801
53;27234;0;0;0;60769461
54;27234;0;0;0;60420490
55;27234;0;0;0;60206393
56;27234;0;0;0;62827202
57;27234;0;0;0;61859586
58;27234;0;0;0;62221241
59;27234;0;0;0;61122893
60;27234;0;0;0;61173670
61;27234;0;0;0;60539322
62;27234;0;0;0;60084744
63;27234;0;0;0;59137503
64;27234;0;0;0;58296644
65;27234;0;0;0;60518295
66;27234;0;0;0;60999470
67;27234;0;0;0;60892536
68;27234;0;0;0;60593748
69;27234;0;0;0;59842016
70;27234;0;0;0;60493851
71;26483;0;0;0;59877038
72;26483;0;0;0;59844958
73;26483;0;0;0;60925577
74;26483;0;0;0;61199108
75;26483;0;0;0;61505600
76;26483;0;0;0;62377894
77;26258;0;0;0;62654750
78;26258;0;0;0;61886040
79;26258;0;0;0;60960115
80;26258;0;0;0;61948519
81;26258;0;0;0;62103341
82;26258;0;0;0;62769537
83;26258;0;0;0;60709442
84;26258;0;0;0;61308649
85;26258;0;0;0;60519813
86;26258;0;0;0;59937272
87;26258;0;0;0;60590778
88;26258;0;0;0;60715741
89;26258;0;0;0;60403640
90;26258;0;0;0;59970851
91;26258;0;0;0;60256926
92;26258;0;0;0;60013097
93;26258;0;0;0;60014464
94;26258;0;0;0;60138719
95;26258;0;0;0;61219115
96;26258;0;0;0;62046394
97;26258;0;0;0;62672870
98;26258;0;0;0;62143999
99;26258;0;0;0;61410758
100;26258;0;0;0;61052713
101;26216;0;0;0;60003556
102;26216;0;0;0;61058809
103;26216;0;0;0;61440199
104;26216;0;0;0;60266931
105;26216;0;0;0;61176926
106;26216;0;0;0;60361519
107;26216;0;0;0;60212418
108;26216;0;0;0;59302859
109;26216;0;0;0;59259344
110;26216;0;0;0;59976786
111;26216;0;0;0;59504469
112;26216;0;0;0;60404625
113;26216;0;0;0;60762621
114;26216;0;0;0;60518881
115;26216;0;0;0;62274188
116;26216;0;0;0;62279315
117;26216;0;0;0;61002431
118;26216;0;0;0;59391318
119;26216;0;0;0;60361209
120;26216;0;0;0;60309350
121;26216;0;0;0;59657586
122;26216;0;0;0;59288759
123;26216;0;0;0;59166288
124;26216;0;0;0;60176964
125;26216;0;0;0;60020283
126;26216;0;0;0;59054090
127;26216;0;0;0;59795958
128;26216;0;0;0;59525573
129;26216;0;0;0;59850789
